,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11,pv12,pv13,pv14,pv15,pv16,pv17,pv18,pv19,pv20,pv21,pv22,temp_pref_1,temp_pref_2,temp_pref_3,temp_pref_4,temp_pref_5,empty,clothes,night,away,shut,shw_time,heat_mot_1,heat_mot_2,heat_mot_3,heat_mot_4,bill_diff,nl_con_sup,nl_cap_sup,age,gender,income
participant_0,1,3,6,4,2,1,2,5,2,6,1,6,1,5,5,3,4,5,1,2,4,3,23,26,18,13,10,3,3,8,88,88,5,9,10,2,3,3,99,1,99,88,7
participant_1,5,3,6,5,2,5,6,2,5,6,2,3,1,3,5,6,5,3,3,1,1,5,29,27,13,17,11,88,0,4,10,3,4,0,1,3,10,0,8,6,63,88,10
participant_2,1,2,1,6,1,6,5,2,6,5,1,2,3,4,5,4,2,2,3,6,5,6,11,29,11,11,17,6,8,88,10,7,7,10,3,99,6,7,99,7,57,88,7
participant_3,5,3,6,3,4,2,1,4,4,4,2,4,3,2,6,5,2,5,5,4,4,5,10,20,24,13,17,8,2,10,5,88,1,99,6,99,9,10,7,8,97,88,4
participant_4,6,5,2,5,6,1,4,5,5,1,1,4,6,4,1,5,2,5,6,5,5,6,27,21,22,23,17,3,4,6,9,5,2,1,4,99,10,99,3,0,53,3,5
participant_5,2,3,3,5,4,3,2,3,6,3,5,2,6,4,2,4,2,3,3,5,6,4,18,19,20,27,20,9,7,2,3,2,8,7,7,4,9,9,8,0,27,2,9
participant_6,1,3,5,5,2,1,2,6,1,4,4,4,5,3,5,5,4,6,6,1,4,6,12,21,22,11,30,0,5,5,7,1,3,10,3,6,5,10,8,3,30,88,6
participant_7,4,5,2,3,2,6,2,1,6,2,3,1,1,1,3,4,5,5,1,6,5,3,23,18,15,28,16,9,1,10,6,6,0,1,2,2,8,3,0,10,69,88,2
participant_8,1,6,6,2,3,5,6,2,3,1,4,5,1,5,4,1,2,3,4,1,4,5,24,13,13,19,22,5,6,4,1,7,2,6,9,3,3,0,7,4,55,2,1
participant_9,3,4,5,3,4,3,3,3,4,4,2,1,3,1,2,3,3,2,3,5,3,2,28,20,13,26,27,4,2,5,5,99,88,4,2,8,3,99,7,10,58,3,2
participant_10,4,6,6,4,5,2,6,5,4,6,6,4,4,6,1,3,2,2,1,4,5,4,19,22,23,30,11,1,10,8,10,0,0,99,3,1,5,99,99,5,66,3,3
participant_11,4,3,6,5,2,5,5,4,6,1,4,4,3,5,5,4,5,6,3,1,5,2,26,15,17,22,27,9,2,6,2,8,2,3,7,7,0,1,10,9,88,1,88
participant_12,1,4,4,1,5,4,1,1,5,3,1,4,5,4,5,5,1,6,2,3,6,5,25,23,28,28,11,1,10,10,5,7,0,9,1,9,3,3,2,8,37,1,6
participant_13,6,3,6,6,6,3,6,1,3,4,1,6,3,6,4,1,5,2,2,2,5,1,28,13,23,18,26,3,99,10,88,3,88,99,1,2,1,5,8,4,28,2,5
participant_14,5,2,2,4,5,6,1,1,1,6,1,6,3,3,2,1,6,1,2,6,1,1,16,23,28,16,18,5,88,5,88,99,2,10,6,8,99,0,3,99,25,88,3
participant_15,1,3,3,5,4,6,3,2,3,6,5,1,2,3,2,5,6,3,2,6,2,1,26,29,13,27,28,2,8,9,7,4,2,10,3,99,3,9,4,6,53,2,1
participant_16,6,5,1,4,4,2,5,3,3,5,5,4,4,3,6,5,4,1,1,2,4,2,29,10,17,17,17,88,4,0,7,88,5,9,5,5,7,10,2,8,56,3,8
participant_17,1,6,2,3,2,2,6,6,6,5,5,2,4,5,2,3,3,3,1,1,4,6,13,24,10,21,23,6,9,2,9,3,10,8,6,10,4,3,7,0,33,88,3
participant_18,4,5,6,1,2,1,5,3,2,6,3,5,5,3,6,1,3,5,4,3,4,4,13,14,21,28,21,99,0,5,8,99,88,0,0,8,3,0,10,1,61,88,2
participant_19,6,6,6,2,2,4,3,3,2,4,1,2,1,3,4,6,1,6,6,5,2,5,29,14,14,11,20,5,1,99,88,4,88,99,99,10,9,2,0,0,66,88,9
participant_20,1,4,1,5,4,3,4,1,6,3,3,6,4,4,1,6,2,3,3,4,1,2,23,22,22,11,23,88,99,10,99,88,7,0,99,6,9,1,3,0,20,88,99
participant_21,2,6,1,4,1,5,4,1,5,2,2,1,6,4,5,4,6,6,2,2,6,5,24,30,17,21,25,10,7,10,99,6,10,9,0,3,6,9,3,4,21,88,2
participant_22,5,2,3,1,1,2,6,1,3,2,1,5,4,5,5,6,6,6,4,3,6,3,12,17,26,10,17,8,99,2,10,10,99,3,4,6,4,99,1,6,93,2,7
participant_23,1,4,5,6,3,4,4,2,6,4,3,3,4,4,1,4,6,1,3,1,6,5,29,21,11,16,18,88,4,99,99,3,1,10,7,0,1,5,3,2,91,88,1
participant_24,4,3,4,3,4,6,1,5,3,4,6,1,2,6,2,2,3,1,6,3,4,5,25,27,10,25,21,3,4,3,88,7,6,0,99,6,9,99,3,9,90,1,2
participant_25,3,6,2,3,3,6,5,4,6,1,4,1,4,4,4,2,5,6,3,6,6,1,23,15,30,14,26,6,10,88,99,6,88,8,99,5,9,0,7,7,96,3,8
participant_26,2,6,2,3,1,6,3,5,3,4,5,3,2,6,2,1,4,6,1,1,5,1,15,26,18,11,11,5,8,2,99,9,7,9,8,99,0,0,9,7,45,1,1
